Deaths,Cases,dates,cities
,8,10.2.21,Taroudannt
,2,10.2.21,Chtouka- Ait Baha
,17,12.2.21,Agadir-Ida -Ou-Tanane
,5,12.2.21,Inezgane- Ait Melloul
1,5,12.2.21,Tiznit
,1,12.2.21,Chtouka- Ait Baha
,1,12.2.21,Tata
?????? ??? ?????,27,14.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,3,14.2.21,Inezgane- Ait Melloul
????????,11,14.2.21,Taroudannt
,18,17.2.21,Agadir-Ida -Ou-Tanane
,9,20.2.21,Agadir-Ida -Ou-Tanane
1,7,20.2.21,Tiznit
,6,20.2.21,Inezgane- Ait Melloul
?????? ??? ?????,7,21.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,4,21.2.21,Inezgane- Ait Melloul
?????? ??? ????,1,21.2.21,Chtouka- Ait Baha
????????,1,21.2.21,Taroudannt
?????,11,24.2.21,Tiznit
?????? ??? ?????,7,24.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ?????,7,26.2.21,Agadir-Ida -Ou-Tanane
?????,3,26.2.21,Tiznit
,10,28.2.21,Agadir-Ida -Ou-Tanane
,3,28.2.21,Inezgane- Ait Melloul
,1,28.2.21,Chtouka- Ait Baha
,4,01.3.21,Agadir-Ida -Ou-Tanane
,1,01.3.21,Tiznit
?????,5,04.3.21,Tiznit
?????? ??? ?????,1,04.3.21,Agadir-Ida -Ou-Tanane
,4,07.3.21,Inezgane- Ait Melloul
,3,07.3.21,Agadir-Ida -Ou-Tanane
,3,07.3.21,Tiznit
?????? ??? ?????,12,10.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,8,10.3.21,Inezgane- Ait Melloul
????????,4,10.3.21,Taroudannt
?????,1,10.3.21,Tiznit
?????? ??? ????,9,11.3.21,Inezgane- Ait Melloul
?????? ??? ?????,8,11.3.21,Agadir-Ida -Ou-Tanane
????????,1,11.3.21,Taroudannt
?????? ??? ????,1,11.3.21,Chtouka- Ait Baha
?????? ??? ?????,7,12.3.21,Agadir-Ida -Ou-Tanane
,8,13.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ?????,4,14.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,3,14.3.21,Inezgane- Ait Melloul
,4,15.3.21,Agadir-Ida -Ou-Tanane
,2,15.3.21,Chtouka- Ait Baha
?????? ??? ?????,6,17.3.21,Agadir-Ida -Ou-Tanane
,2,18.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ?????,4,20.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,4,20.3.21,Inezgane- Ait Melloul
?????,4,20.3.21,Tiznit
?????? ??? ?????,6,21.3.21,Agadir-Ida -Ou-Tanane
?????,2,21.3.21,Tiznit
????????,1,21.3.21,Taroudannt
,4,23.3.21,Tiznit
?????? ??? ????,2,24.3.21,Inezgane- Ait Melloul
?????,7,24.3.21,Tiznit
?????? ??? ?????,3,24.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,2,24.3.21,Chtouka- Ait Baha
,6,25.3.21,Tiznit
,5,25.3.21,Agadir-Ida -Ou-Tanane
,5,31.3.21,Agadir-Ida -Ou-Tanane
,4,31.3.21,Tata
,3,31.3.21,Tiznit
,2,31.3.21,Inezgane- Ait Melloul
0,11,01.4.21,Agadir-Ida -Ou-Tanane
0,11,01.4.21,Inezgane- Ait Melloul
0,4,01.4.21,Chtouka- Ait Baha
0,2,01.4.21,Taroudannt
0,2,01.4.21,Tiznit
,5,03.4.21,Chtouka- Ait Baha
1,4,03.4.21,Agadir-Ida -Ou-Tanane
,2,03.4.21,Tiznit
,7,06.4.21,Tiznit
?????? ??? ?????,10,08.4.21,Agadir-Ida -Ou-Tanane
?????,3,08.4.21,Tiznit
?????? ??? ????,1,08.4.21,Inezgane- Ait Melloul
,12,09.4.21,Inezgane- Ait Melloul
,7,09.4.21,Agadir-Ida -Ou-Tanane
,1,09.4.21,Taroudannt
,1,09.4.21,Chtouka- Ait Baha
,1,09.4.21,Tiznit
1,10,10.4.21,Inezgane- Ait Melloul
,8,10.4.21,Agadir-Ida -Ou-Tanane
,1,10.4.21,Taroudannt
,1,10.4.21,Tiznit
,2,12.4.21,Agadir-Ida -Ou-Tanane
,1,12.4.21,Inezgane- Ait Melloul
,1,12.4.21,Chtouka- Ait Baha
?????? ??? ?????,13,14.4.21,Agadir-Ida -Ou-Tanane
????????,6,14.4.21,Taroudannt
?????? ??? ????,3,14.4.21,Inezgane- Ait Melloul
?????? ??? ????,1,14.4.21,Chtouka- Ait Baha
?????? ??? ?????,11,15.4.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,6,15.4.21,Inezgane- Ait Melloul
?????? ??? ????,4,15.4.21,Chtouka- Ait Baha
?????,4,15.4.21,Tiznit
????????,1,15.4.21,Taroudannt
,16,16.4.21,Agadir-Ida -Ou-Tanane
,4,16.4.21,Inezgane- Ait Melloul
,2,16.4.21,Taroudannt
,1,16.4.21,Chtouka- Ait Baha
,7,17.4.21,Agadir-Ida -Ou-Tanane
,3,17.4.21,Chtouka- Ait Baha
,2,17.4.21,Tiznit
2,1,17.4.21,Inezgane- Ait Melloul
,8,21.4.21,Inezgane- Ait Melloul
,4,21.4.21,Agadir-Ida -Ou-Tanane
,3,21.4.21,Tiznit
,2,21.4.21,Taroudannt
,7,22.4.21,Inezgane- Ait Melloul
,5,22.4.21,Chtouka- Ait Baha
,4,22.4.21,Agadir-Ida -Ou-Tanane
,2,22.4.21,Taroudannt
1,1,22.4.21,Tiznit
,7,23.4.21,Agadir-Ida -Ou-Tanane
,4,23.4.21,Inezgane- Ait Melloul
,10,24.4.21,Agadir-Ida -Ou-Tanane
,4,24.4.21,Inezgane- Ait Melloul
1,3,24.4.21,Tiznit
,9,28.4.21,Agadir-Ida -Ou-Tanane
,9,28.4.21,Inezgane- Ait Melloul
1,2,28.4.21,Taroudannt
,1,28.4.21,Tiznit
,16,29.4.21,Inezgane- Ait Melloul
,3,29.4.21,Taroudannt
,1,29.4.21,Agadir-Ida -Ou-Tanane
,4,30.4.21,Taroudannt
,3,30.4.21,Agadir-Ida -Ou-Tanane
,1,30.4.21,Inezgane- Ait Melloul
,7,01.5.21,Agadir-Ida -Ou-Tanane
,3,01.5.21,Inezgane- Ait Melloul
,1,01.5.21,Tiznit
,10,04.5.21,Inezgane- Ait Melloul
,4,04.5.21,Tiznit
,2,04.5.21,Taroudannt
,2,04.5.21,Agadir-Ida -Ou-Tanane
,2,04.5.21,Chtouka- Ait Baha
,16,05.5.21,Agadir-Ida -Ou-Tanane
,1,05.5.21,Chtouka- Ait Baha
,8,06.5.21,Agadir-Ida -Ou-Tanane
,3,06.5.21,Inezgane- Ait Melloul
,1,06.5.21,Tiznit
,1,06.5.21,Chtouka- Ait Baha
,14,08.5.21,Agadir-Ida -Ou-Tanane
,5,08.5.21,Tiznit
,4,08.5.21,Inezgane- Ait Melloul
,13,18.5.21,Agadir-Ida -Ou-Tanane
,3,18.5.21,Tiznit
,1,18.5.21,Inezgane- Ait Melloul
,14,19.5.21,Agadir-Ida -Ou-Tanane
,6,19.5.21,Inezgane- Ait Melloul
,5,19.5.21,Tiznit
